47 accounts with an established partner motion
allisontransmission.com    1,600 Dealer
appelit.com                10 partner
myfactory.com              100 Partner
aircall.io                 23,000 businesses
kiflo.com                  61,000 Partner
magentrix.com              150 partner
trengo.com                 235 partner
pleo.io                    40,000 Unternehmen
start-platform.com         47 partners

DONE — 9/47 accounts publish a programme-size claim (19%)
