company,domain,country,region,sector,language,discovery_mechanism,discovery_provenance,entity_resolution_state,partner_motion_state,programme_ownership,programme_types,commercial_partner_motion,referral_state,lead_sharing_state,co_sell_state,deal_registration_state,partner_pipeline_state,partner_onboarding_state,partner_enablement_state,partner_tiers_state,partner_portal_state,partner_incentives_state,partner_attribution_state,partner_directory_state,programme_scale_state,programme_scale_claimed,programme_scale_noun,directory_entries_observed,informal_programme_signature,crm_state,crm_vendor,crm_evidence_strength,current_crm_evidence,historical_crm_evidence,crm_conflict,crm_latest_strong_evidence_date,crm_evidence_source,job_research_attempted,current_jobs_found,historical_jobs_found,jobs_inspected,non_partner_jobs_inspected,crm_job_mentions,crm_job_confirmations,linkedin_research_attempted,linkedin_accessible,linkedin_unique_evidence,partner_people_state,partner_people_observed,partner_roles,prm_state,prm_vendor,temporal_evidence,sources_inspected,queries_executed,pages_inspected,evidence_sufficiency,commercial_review_readiness,failure_stage,failure_reason,missing_critical_fields
beamex,beamex.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by zinfi.com (enterprise PRM),confirmed_by_first_party_name_match,established,unknown,distributor,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_attempted,not_attempted,,,,not_informal,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,partial,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,belcan.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,16,under_observed,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,partner_motion|crm|deal_registration|partner_people|programme_scale
,bigid.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,reseller|services|distributor|service_partner|system_integrator|msp,weak_proxy,not_observed,not_observed,confirmed,not_observed,not_observed,not_observed,confirmed,not_observed,confirmed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,11,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,billingplatform.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,solution_partner,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,9,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,blackline.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,unknown,,weak_proxy,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,confirmed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,competitor_prm_confirmed,,not_attempted,0,0,6,partial,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
blue gorilla digital,bluegorilladigital.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by zinfi.com (enterprise PRM),confirmed_by_first_party_name_match,established,unknown,dealer,unknown,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,,,,not_informal,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,partial,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,blueyonder.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,technology|solution_partner,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,confirmed,not_observed,confirmed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,8,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
bolt,bolt.io,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by partnerstack.com (mid_market PRM),confirmed_by_first_party_name_match,unknown,unknown,,unknown,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,,,,not_informal,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,partial,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,partner_motion|crm|deal_registration|partner_people|programme_scale
bombbomb,bombbomb.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by partnerstack.com (mid_market PRM),confirmed_by_first_party_name_match,established,unknown,dealer,unknown,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,,,,not_informal,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,partial,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,boomi.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,system_integrator|solution_partner,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,confirmed,not_observed,confirmed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,7,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,bytes.co.uk,unknown,UK,software,en,search_query_family,query family ENGLISH_MSP_PROGRAM,confirmed,established,unknown,reseller|solution_partner,confirmed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_observed,,,,not_attempted,unknown,,unknown,no,no,,,,yes,0,0,0,0,0,0,yes,accessible_via_index,people_only,two_or_more,2,Andy Walker — Partner Alliance Manager | Penelope Bridger — Vendor Alliance & Commercial Operations Director,unknown,,not_attempted,23,0,11,sufficient_for_review,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,R3_JS_CAREERS,A careers page exists but served no readable vacancies — typically JavaScript-rendered.,crm|deal_registration|programme_scale
,calabrio.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,strategic_alliance,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,confirmed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,12,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,calypso.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,0,under_observed,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,partner_motion|crm|deal_registration|partner_people|programme_scale
,camunda.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,,unknown,not_observed,not_observed,confirmed,not_observed,not_observed,not_observed,not_observed,confirmed,confirmed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,11,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,canonical.com,unknown,UK,software,en,search_query_family,query family ENGLISH_MSP_PROGRAM,confirmed,established,direct,reseller,confirmed,not_observed,not_observed,confirmed,confirmed,not_observed,not_observed,not_observed,not_observed,confirmed,not_attempted,not_attempted,confirmed,not_observed,,,,not_attempted,strong_supporting,Salesforce,strong_supporting,no,no,,,company_careers_index,yes,15,0,15,14,1,1,yes,accessible_via_index,none,roles_only,0,,unknown,,not_attempted,23,0,7,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,P4_SOURCE_TOO_WEAK,Only candidate-experience language: asking for a skill is not using the tool.,crm|programme_scale
carbon6,carbon6.io,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by partnerstack.com (mid_market PRM),confirmed_by_first_party_name_match,established,direct,reseller|affiliate,strong_proxy,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_attempted,not_attempted,,,,informal_programme,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,cegeka.com,unknown,unknown,unknown,not_attempted,manual_seed,supplied by hand in an earlier phase,confirmed,unknown,unknown,,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_attempted,,,0,not_attempted,strong_supporting,HubSpot,strong_supporting,no,no,,,website_fingerprint,yes,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,46,0,9,under_observed,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,E1_EVIDENCE_NOT_EXTRACTED,A partner surface was located but yielded no motion evidence.,partner_motion|crm|deal_registration|partner_people|programme_scale
chainlane,chainlane.io,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by kiflo.com (smb PRM),confirmed_by_first_party_name_match,established,direct,reseller,weak_proxy,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_attempted,not_attempted,,,,informal_programme,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,channable.com,NL,unknown,unknown,not_attempted,manual_seed,supplied by hand in an earlier phase,confirmed,established,direct,agency,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,confirmed,not_observed,not_attempted,not_attempted,not_observed,not_observed,,,0,not_attempted,unknown,,unknown,no,no,,,,yes,1,0,1,1,0,0,yes,accessible_via_index,people_only,one_found,1,"Danielle Pierson — partnerships involvement, title not stated",unknown,,not_attempted,22,0,1,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,P1_NOT_PUBLIC,1 vacancies read and none named a CRM. The company does not publish it.,crm|deal_registration|programme_scale
channelscaler,channelscaler.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by allbound.com (mid_market PRM),confirmed,established,direct,reseller|services|technology|strategic_alliance|implementation|distributor|service_partner,confirmed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_attempted,not_attempted,,,,suppressed_partner_tech,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,chef.io,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,reseller|distributor,confirmed,not_observed,not_observed,not_observed,confirmed,not_observed,not_observed,not_observed,confirmed,confirmed,not_attempted,not_attempted,confirmed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,10,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|partner_people|programme_scale
,cleo.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,3,under_observed,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,partner_motion|crm|deal_registration|partner_people|programme_scale
clickup,clickup.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by partnerstack.com (mid_market PRM),confirmed_by_first_party_name_match,established,direct,reseller|implementation|services|service_partner|system_integrator|solution_partner,strong_proxy,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_attempted,not_attempted,,,,formalised_programme,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
close,close.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by partnerstack.com (mid_market PRM),confirmed_by_first_party_name_match,established,direct,services|affiliate|implementation|solution_partner,strong_proxy,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_attempted,not_attempted,,,,formalised_programme,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,cloud.ionos.co.uk,unknown,UK,software,en,search_query_family,query family ENGLISH_MSP_PROGRAM,confirmed,established,participant_only,reseller|technology,unknown,not_observed,not_observed,confirmed,not_observed,not_observed,not_observed,confirmed,not_observed,confirmed,not_attempted,not_attempted,confirmed,not_observed,,,,not_attempted,unknown,,unknown,no,no,,,,yes,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,26,0,9,sufficient_for_review,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,R1_NO_CAREERS_SURFACE,No ATS board and no readable careers page: hiring evidence was never reachable.,crm|deal_registration|partner_people|programme_scale
,cognition.ai,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,1,under_observed,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,partner_motion|crm|deal_registration|partner_people|programme_scale
,cohesity.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,distributor|solution_partner|system_integrator|msp|oem_partner,unknown,not_observed,not_observed,not_observed,confirmed,not_observed,not_observed,not_observed,not_observed,confirmed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,7,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|partner_people|programme_scale
,collibra.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,,weak_proxy,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,confirmed,not_observed,not_observed,not_attempted,not_attempted,confirmed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,8,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,comarch.de,unknown,DACH,software,de,search_query_family,query family GERMAN_OPERATOR_FACHPARTNER,confirmed,established,unknown,service_partner|solution_partner|system_integrator,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_observed,,,,not_attempted,unknown,,unknown,no,no,,,,yes,1,0,1,1,0,0,yes,accessible_via_index,people_only,one_found,1,Joanna Rudek — Partner Channel Manager,unknown,,not_attempted,21,0,2,sufficient_for_review,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,P1_NOT_PUBLIC,1 vacancies read and none named a CRM. The company does not publish it.,crm|deal_registration|programme_scale
,conga.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,reseller,weak_proxy,not_observed,not_observed,confirmed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,confirmed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,13,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,conwex.de,unknown,DACH,manufacturing,de,search_query_family,query family GERMAN_OPERATOR_FACHPARTNER,confirmed,unknown,unknown,,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,no,no,,,,yes,2,0,2,2,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,21,0,2,under_observed,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,R1_PAGE_NOT_RETRIEVED,Pages were read but no partner surface was located.,partner_motion|crm|deal_registration|partner_people|programme_scale
,coupa.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,0,under_observed,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,partner_motion|crm|deal_registration|partner_people|programme_scale
crossbeam,crossbeam.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by partnerportal.io (smb PRM),confirmed_by_first_party_name_match,established,direct,services|technology,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_attempted,not_attempted,,,,suppressed_partner_tech,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,csgi.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,strategic_alliance,unknown,not_observed,confirmed,not_observed,not_observed,not_observed,not_observed,confirmed,not_observed,confirmed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,competitor_prm_confirmed,,not_attempted,0,0,5,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
ctera,ctera.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by channeltivity.com (mid_market PRM),confirmed_by_first_party_name_match,established,direct,reseller|strategic_alliance|system_integrator|solution_partner,strong_proxy,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_attempted,not_attempted,,,,formalised_programme,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,cubbit.io,unknown,unknown,unknown,not_attempted,manual_seed,supplied by hand in an earlier phase,confirmed,established,direct,reseller|technology|strategic_alliance|solution_partner,weak_proxy,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,confirmed,not_attempted,not_attempted,not_observed,not_observed,,,0,not_attempted,strong_supporting,HubSpot,strong_supporting,no,no,,,company_current_vacancy,yes,9,0,9,9,4,0,yes,accessible_via_index,people_only,two_or_more,2,Raffaele Giustini — Channel Account Manager | Enrico Signoretti — VP Product and Partnerships,introw_confirmed,Introw,not_attempted,38,0,9,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,P4_SOURCE_TOO_WEAK,"Only a website artifact: proves a script is installed, not that sales runs on it.",crm|deal_registration|programme_scale
,cyara.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,reseller,confirmed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,confirmed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,6,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,datacore.com,unknown,FR,software,fr,search_query_family,query family FRENCH_REVENDEUR_PROGRAM,confirmed,established,direct,reseller|technology,confirmed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,confirmed,not_observed,confirmed,not_attempted,not_attempted,confirmed,not_observed,,,,not_attempted,strong_supporting,Salesforce,strong_supporting,no,no,,,website_fingerprint,yes,6,0,6,6,0,0,yes,accessible_via_index,people_only,one_found,1,"Pam Athwal — Channel Partner Manager, Pixitmedia by DataCore",unknown,,not_attempted,24,0,7,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,P4_SOURCE_TOO_WEAK,"Only a website artifact: proves a script is installed, not that sales runs on it.",crm|deal_registration|programme_scale
,datadoghq.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,unknown,unknown,,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_attempted,,,0,not_informal,unknown,,unknown,no,no,,,,yes,3,0,3,3,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,44,0,6,under_observed,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,E1_EVIDENCE_NOT_EXTRACTED,A partner surface was located but yielded no motion evidence.,partner_motion|crm|deal_registration|partner_people|programme_scale
,deloitte.com,unknown,unknown,unknown,not_attempted,manual_seed,supplied by hand in an earlier phase,confirmed,unknown,unknown,,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_attempted,,,0,not_informal,unknown,,unknown,no,no,,,,yes,0,0,40,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,73,0,6,partial,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,E1_EVIDENCE_NOT_EXTRACTED,A partner surface was located but yielded no motion evidence.,partner_motion|crm|deal_registration|partner_people|programme_scale
demandbase,demandbase.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by partnerstack.com (mid_market PRM),confirmed_by_first_party_name_match,established,direct,referral|services|technology|integration|reseller|service_partner|solution_partner,confirmed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_attempted,not_attempted,,,,formalised_programme,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,devoteam.com,unknown,unknown,unknown,not_attempted,manual_seed,supplied by hand in an earlier phase,confirmed,established,direct,solution_partner,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_observed,,,0,not_attempted,unknown,,unknown,no,no,,,,yes,4,0,4,4,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,34,0,15,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,P1_NOT_PUBLIC,4 vacancies read and none named a CRM. The company does not publish it.,crm|deal_registration|partner_people|programme_scale
donorbox,donorbox.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by kiflo.com (smb PRM),confirmed_by_first_party_name_match,established,direct,affiliate|distributor,unknown,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,,,,not_informal,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
