company,domain,country,region,sector,language,discovery_mechanism,discovery_provenance,entity_resolution_state,partner_motion_state,programme_ownership,programme_types,commercial_partner_motion,referral_state,lead_sharing_state,co_sell_state,deal_registration_state,partner_pipeline_state,partner_onboarding_state,partner_enablement_state,partner_tiers_state,partner_portal_state,partner_incentives_state,partner_attribution_state,partner_directory_state,programme_scale_state,programme_scale_claimed,programme_scale_noun,directory_entries_observed,informal_programme_signature,crm_state,crm_vendor,crm_evidence_strength,current_crm_evidence,historical_crm_evidence,crm_conflict,crm_latest_strong_evidence_date,crm_evidence_source,job_research_attempted,current_jobs_found,historical_jobs_found,jobs_inspected,non_partner_jobs_inspected,crm_job_mentions,crm_job_confirmations,linkedin_research_attempted,linkedin_accessible,linkedin_unique_evidence,partner_people_state,partner_people_observed,partner_roles,prm_state,prm_vendor,temporal_evidence,sources_inspected,queries_executed,pages_inspected,evidence_sufficiency,commercial_review_readiness,failure_stage,failure_reason,missing_critical_fields
,alation.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,reseller|technology,weak_proxy,not_observed,not_observed,confirmed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,confirmed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,6,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,allisontransmission.com,unknown,US,manufacturing,en,search_query_family,query family ENGLISH_AUTHORIZED_RESELLER_HARDWARE,confirmed,established,direct,distributor|dealer|oem_partner,weak_proxy,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,claimed,1600,Dealer,,not_attempted,unknown,,unknown,no,no,,,,yes,7,0,7,7,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,26,0,9,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,P1_NOT_PUBLIC,7 vacancies read and none named a CRM. The company does not publish it.,crm|deal_registration|partner_people
,allthingstalk.com,unknown,US/global,iot_hardware,en,search_query_family,query family ENGLISH_AUTHORIZED_RESELLER_HARDWARE,confirmed,established,unknown,reseller,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_observed,,,,not_attempted,strong_supporting,HubSpot,strong_supporting,no,no,,,website_fingerprint,yes,1,0,1,1,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,24,0,7,partial,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,P4_SOURCE_TOO_WEAK,"Only a website artifact: proves a script is installed, not that sales runs on it.",crm|deal_registration|partner_people|programme_scale
,anthropic.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,unknown,unknown,,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,confirmed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,7,under_observed,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,partner_motion|crm|deal_registration|partner_people|programme_scale
,apaleo.com,DE,unknown,unknown,not_attempted,manual_seed,supplied by hand in an earlier phase,confirmed,unknown,unknown,,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_attempted,,,0,not_attempted,unknown,,unknown,no,no,,,,yes,10,0,10,10,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,46,0,3,under_observed,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,E1_EVIDENCE_NOT_EXTRACTED,A partner surface was located but yielded no motion evidence.,partner_motion|crm|deal_registration|partner_people|programme_scale
,apicbase.com,unknown,DACH,software,de,search_query_family,query family GERMAN_OPERATOR_FACHPARTNER,confirmed,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,strong_supporting,HubSpot,strong_supporting,no,no,,,website_fingerprint,yes,5,0,5,5,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,21,0,3,under_observed,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,R1_PAGE_NOT_RETRIEVED,Pages were read but no partner surface was located.,partner_motion|crm|deal_registration|partner_people|programme_scale
apollo,apollo.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by partnerstack.com (mid_market PRM),confirmed_by_first_party_name_match,unknown,unknown,,unknown,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,not_attempted,,,,not_informal,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,partial,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,partner_motion|crm|deal_registration|partner_people|programme_scale
Register now ->,appdirect.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by partnerstack.com (mid_market PRM),confirmed,established,direct,reseller,confirmed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_attempted,not_attempted,,,,not_informal,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,appdynamics.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,reseller,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,confirmed,not_attempted,not_attempted,confirmed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,11,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,appelit.com,unknown,Benelux,software,nl,search_query_family,query family DUTCH_VIA_ENGLISH_REACH,confirmed,established,unknown,technology|msp,weak_proxy,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,claimed,10,partner,,not_attempted,unknown,,unknown,no,no,,,,yes,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,23,0,5,sufficient_for_review,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,R1_NO_CAREERS_SURFACE,No ATS board and no readable careers page: hiring evidence was never reachable.,crm|deal_registration|partner_people
