state,accounts,pct_of_crm_population
supported ATS board attributed,9,11.7
no ATS board but vacancies read,46,59.7
"careers page found, no readable vacancy (JS-only or listing)",4,5.2
no careers surface reached at all,18,23.4
historical vacancies read despite no board,0,0
indexed jobs used despite unsupported ATS,0,0
blocked (403 on careers),3,3.9
