domain,corpus,partner_motion,ownership,crm,partner_people,prm,currentness,research_status
yesicd.com,discovery_batch,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
aikido.dev,existing_corpus,ESTABLISHED,ESTABLISHED,ESTABLISHED,NOT_ATTEMPTED,UNKNOWN,PARTIAL,sufficient_for_review
aircall.io,existing_corpus,ESTABLISHED,ESTABLISHED,ESTABLISHED,NOT_ATTEMPTED,UNKNOWN,PARTIAL,sufficient_for_review
apaleo.com,existing_corpus,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
archerirm.com,existing_corpus,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
cegeka.com,existing_corpus,UNKNOWN,UNKNOWN,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
channable.com,existing_corpus,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
cubbit.io,existing_corpus,ESTABLISHED,ESTABLISHED,PARTIAL,NOT_ATTEMPTED,introw_confirmed,UNKNOWN,sufficient_for_review
datadoghq.com,existing_corpus,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
deloitte.com,existing_corpus,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,partial
devoteam.com,existing_corpus,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
doordash.com,existing_corpus,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
efficy.com,existing_corpus,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
factorialhr.com,existing_corpus,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
foleon.com,existing_corpus,UNKNOWN,UNKNOWN,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,partial
getaccept.com,existing_corpus,UNKNOWN,UNKNOWN,PARTIAL,NOT_ATTEMPTED,UNKNOWN,PARTIAL,sufficient_for_review
glovoapp.com,existing_corpus,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,partial
juro.com,existing_corpus,UNKNOWN,UNKNOWN,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
kiflo.com,existing_corpus,ESTABLISHED,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,partial
lano.io,existing_corpus,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
leapsome.com,existing_corpus,UNKNOWN,UNKNOWN,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
magentrix.com,existing_corpus,ESTABLISHED,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,competitor_prm_confirmed,UNKNOWN,sufficient_for_review
mews.com,existing_corpus,ESTABLISHED,ESTABLISHED,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
oneflow.com,existing_corpus,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
payfit.com,existing_corpus,UNKNOWN,ESTABLISHED,ESTABLISHED,NOT_ATTEMPTED,UNKNOWN,PARTIAL,sufficient_for_review
planhat.com,existing_corpus,ESTABLISHED,ESTABLISHED,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
pleo.io,existing_corpus,ESTABLISHED,ESTABLISHED,PARTIAL,NOT_ATTEMPTED,UNKNOWN,PARTIAL,sufficient_for_review
productsup.com,existing_corpus,ESTABLISHED,UNKNOWN,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,partial
sana-commerce.com,existing_corpus,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
spendesk.com,existing_corpus,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
trengo.com,existing_corpus,ESTABLISHED,ESTABLISHED,PARTIAL,NOT_ATTEMPTED,competitor_prm_confirmed,UNKNOWN,sufficient_for_review
twikey.com,existing_corpus,UNKNOWN,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
upsales.com,existing_corpus,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
vinted.com,existing_corpus,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,under_observed
weglot.com,existing_corpus,ESTABLISHED,ESTABLISHED,UNKNOWN,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
younium.com,existing_corpus,ESTABLISHED,ESTABLISHED,PARTIAL,NOT_ATTEMPTED,UNKNOWN,UNKNOWN,sufficient_for_review
